categoria,precision,recall,f1_score,soporte,tasa_error
alimentacion,0.2787446504992867,0.6639483520217465,0.3926454335376268,5886,0.3360516479782535
transporte,0.2831910509272888,0.3306978343073221,0.3051062480177609,5818,0.6693021656926779
salud,0.6606334841628959,0.39718066031903054,0.49610008494864466,8087,0.6028193396809695
vivienda,0.43961475098213154,0.378629120279415,0.40684923473875567,9162,0.621370879720585
educacion,0.3861209964412811,0.3271356783919598,0.35418933623503807,5970,0.6728643216080402
ocio,0.6007194244604317,0.4858836206896552,0.5372334087930418,9280,0.5141163793103448
servicios,0.559679037111334,0.2364907819453274,0.3324892000595859,9438,0.7635092180546725
deudas,0.40439911526173505,0.8741035856573706,0.5529698395362513,3765,0.12589641434262944
otras,0.13499604117181313,0.11553447399627308,0.12450935645823824,5903,0.884465526003727
macro,0.4164553945575776,0.4232893452897889,0.38912134914721597,63309,0.5767106547102111
weighted,0.44448820139409984,0.39773176009730055,0.3930043574616235,63309,0.6022682399026995
